name,lat,lon,type,radius
SP,-22.8738725,-42.5865314,SP,200
1,-22.8367461,-42.5706086,TP,200
2,-22.8476645,-42.5545373,TP,200
3,-22.8242884,-42.5337901,TP,200
4,-22.8010956,-42.5090951,TP,200
5,-22.7839833,-42.4552447,TP,200
6,-22.7936193,-42.4459957,TP,200
7,-22.7830634,-42.5136178,TP,200
8,-22.7843152,-42.5649823,TP,200
9,-22.8840691,-42.5010451,TP,200
10,-22.8623036,-42.5529345,TP,200
11,-22.8528839,-42.5125151,TP,200
12,-22.8175224,-42.4891697,TP,200
13,-22.7792580,-42.4725148,TP,200
14,-22.8199043,-42.5808349,TP,200
15,-22.8415878,-42.4470033,TP,200
16,-22.8666046,-42.4378703,TP,200
17,-22.8335387,-42.5964039,TP,200
18,-22.7680358,-42.5333183,TP,200
FP,-22.8861283,-42.5893653,FP,200
