name,lat,lon,type,radius
FXC001,-22.8738500,-42.5865100,SP,200
FXC002,-22.8644600,-42.5764300,HG,200
FXC003,-22.8555500,-42.5670100,HG,200
FXC004,-22.8464700,-42.5572900,HG,200
FXC005,-22.8375200,-42.5478000,HG,200
FXC006,-22.8283700,-42.5381000,HG,200
FXC007,-22.8193500,-42.5284800,HG,200
FXC008,-22.8102700,-42.5188100,HG,200
FXC009,-22.8011100,-42.5090800,TP,200
FXC010,-22.7955400,-42.4997900,HG,200
FXC011,-22.7901400,-42.4907400,HG,200
FXC012,-22.7847400,-42.4816500,HG,200
TG1,-22.7792800,-42.4725100,TG,200
FXC014,-22.7829300,-42.4657300,HG,200
FXC015,-22.7864600,-42.4592100,HG,200
FXC016,-22.7899800,-42.4526500,HG,200
TP2,-22.7935900,-42.4460000,TP,200
FXC018,-22.8199500,-42.4430900,HG,200
FXC019,-22.8300700,-42.4419200,HG,200
FXC020,-22.8483500,-42.4399100,HG,200
TG2,-22.8665900,-42.4378600,TG,200
FXC022,-22.8709500,-42.4535100,HG,200
FXC023,-22.8753000,-42.4693300,HG,200
FXC024,-22.8796300,-42.4849900,HG,200
TP3,-22.8840800,-42.5010400,TP,200
FXC026,-22.8766700,-42.5036000,HG,200
FXC027,-22.8688200,-42.5066500,HG,200
FXC028,-22.8610800,-42.5095700,HG,200
TG3,-22.8529000,-42.5125000,TG,200
FXC030,-22.8570700,-42.5222600,HG,200
FXC031,-22.8612400,-42.5317300,HG,200
FXC032,-22.8653500,-42.5412400,HG,200
FXC033,-22.8695500,-42.5508300,HG,200
FXC034,-22.8736500,-42.5604600,HG,200
FXC035,-22.8778000,-42.5699500,HG,200
FXC036,-22.8818100,-42.5793800,HG,200
FXC037,-22.8860900,-42.5893100,FP,200
